nombreTitularTarjeta,numeroTarjeta,fechaCaducidadTarjeta,Cvv,SaldoTarjeta
Shaylynn Jollie,1567248899169707,2025-01-02,125,"€4655,03"
Jade Scopham,6828838848819978,2025-10-28,212,"€3154,88"
Fern Honacker,1667724741411194,2028-08-13,124,"€2211,51"
Amalie Mattecot,1286101236085258,2024-10-23,360,"€4503,41"
Malory Buddleigh,3913368060356872,2027-10-13,330,"€1271,55"
Chloe Cappleman,1432709523561032,2025-08-14,892,"€1912,83"
Cecilio Purdom,2274763259508993,2027-02-06,709,"€4081,11"
Sig Mac Giolla Pheadair,4916017284515617,2024-12-08,134,"€3642,47"
Debra Delgaty,7461247618077823,2027-09-24,246,"€2208,02"
Hal Penley,6119132119340925,2028-01-21,52,"€4503,30"
Kora Toulamain,3165033769293244,2030-03-02,337,"€1934,87"
Rudy Nell,7989719917696559,2024-08-10,880,"€1652,76"
Annissa Juza,1423306534214641,2027-11-14,111,"€4766,34"
Shayla Hainey`,2211537788741225,2026-03-01,38,"€1876,72"
Ebba Bittlestone,1318993427835336,2027-02-16,826,"€3703,71"
Wilek Sant,4219586382896102,2024-03-21,463,"€3767,96"
Giusto Loughlan,7479999824939678,2030-02-14,673,"€2967,91"
Jorie Lain,4085322316935930,2029-12-15,204,"€1139,64"
Eustace Laughnan,8025747655483124,2027-12-02,178,"€4535,19"
Jacinda O'Beirne,5826952158731159,2027-05-18,751,"€2514,81"
Gunilla Ayllett,6132987124166810,2030-02-25,336,"€626,12"
Myrlene Erwin,9825176786546571,2027-04-29,877,"€1651,21"
Abdel Eivers,8360605851699901,2025-02-06,588,"€155,33"
Skyler Forsaith,9603410094995498,2026-08-21,702,"€1745,07"
Darcy Rigler,3807081435074168,2027-12-08,243,"€2913,53"
Netty Earley,8886080619766519,2026-03-29,951,"€2217,29"
Angelia Starkey,3943100701651426,2030-01-08,504,"€3971,54"
Corrine Gait,8665178124101455,2025-05-03,456,"€434,42"
Traci Meenehan,7619596401316142,2030-01-23,936,"€4045,60"
Arley Augur,9764517240771355,2029-07-09,437,"€2704,79"
Ailbert Brockton,2948767117848103,2029-08-29,87,"€3067,69"
Mart Mithun,5246077608337685,2027-04-12,981,"€3897,78"
Keriann Zimmer,7039943689681523,2026-02-12,361,"€2174,73"
Rozele de Wilde,9522071212095478,2027-10-31,451,"€2402,85"
